0.00000000,0.00000000,0.50000000,-0.00320746,0.09543214,-0.27183344,0.95759543,0.12633916,-0.28238956,-0.25770000,0.01313685,-0.29872054,-0.25770000,-0.01626432,-0.74424108,-0.25770000,-0.10991267,-0.74546631,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00290782,0.09295740,-0.27106021,0.95805888,0.12926502,-0.28160318,-0.25770000,0.04212842,-0.40331058,-0.25770000,0.00558219,-0.74668231,-0.25770000,-0.11170749,-0.75435615,-0.25770000
0.00000000,0.00000000,0.50000000,0.00106356,0.08871227,-0.26773495,0.95939929,0.11762734,-0.31678248,-0.25770000,0.03204478,-0.42568355,-0.25770000,-0.00128832,-0.76912229,-0.25770000,-0.12960606,-0.76690298,-0.25770000
0.00000000,0.00000000,0.50000000,0.00244032,0.08739202,-0.26651438,0.95985768,0.10157932,-0.36203611,-0.25770000,0.00386795,-0.39820654,-0.25770000,-0.02255181,-0.79562159,-0.25770000,-0.15347721,-0.77701712,-0.25770000
0.00000000,0.00000000,0.50000000,0.00283001,0.08652538,-0.26586295,0.96011574,0.08332487,-0.38398618,-0.25770000,-0.01806042,-0.36827899,-0.25770000,-0.04482279,-0.79582326,-0.25770000,-0.18527570,-0.76813471,-0.25770000
0.00000000,0.00000000,0.50000000,0.00106352,0.08718629,-0.26472513,0.96037390,0.11527330,-0.35014922,-0.25770000,0.00335799,-0.33242075,-0.25770000,-0.03963631,-0.78948299,-0.25770000,-0.15788155,-0.76422807,-0.25770000
0.00000000,0.00000000,0.50000000,0.00044349,0.08595840,-0.26224013,0.96116652,0.11472353,-0.32328858,-0.25770000,-0.00847650,-0.32168759,-0.25770000,-0.03363472,-0.76974013,-0.25770000,-0.14787245,-0.74860591,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00418106,0.08457954,-0.25917501,0.96211077,0.11562500,-0.28607052,-0.25770000,-0.01959076,-0.29959712,-0.25770000,-0.02794823,-0.74793483,-0.25770000,-0.13228592,-0.72233325,-0.25770000
0.00000000,0.00000000,0.50000000,-0.01046244,0.08107782,-0.25730611,0.96286577,0.11424994,-0.34838388,-0.25770000,-0.02073790,-0.35825878,-0.25770000,0.01067642,-0.77650819,-0.25770000,-0.11160425,-0.75058608,-0.25770000
0.00000000,0.00000000,0.50000000,-0.01668048,0.07316482,-0.25414404,0.96425073,0.14419610,-0.38822585,-0.25770000,-0.01068274,-0.37190234,-0.25770000,0.04169140,-0.80836297,-0.25770000,-0.08961171,-0.79009320,-0.25770000
0.00000000,0.00000000,0.50000000,-0.02149307,0.06017827,-0.25181592,0.96566318,0.15670601,-0.40992414,-0.25770000,0.01922873,-0.40115313,-0.25770000,0.05344375,-0.82922920,-0.25770000,-0.09332925,-0.81046960,-0.25770000
0.00000000,0.00000000,0.50000000,-0.01372959,0.06946061,-0.24896963,0.96591969,0.14073294,-0.39254993,-0.25770000,0.02588979,-0.39458679,-0.25770000,0.04415121,-0.84161663,-0.25770000,-0.10351421,-0.81868586,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00790892,0.07334281,-0.24697842,0.96620906,0.12076058,-0.37815588,-0.25770000,0.03330149,-0.38831203,-0.25770000,0.03124735,-0.83036277,-0.25770000,-0.10187725,-0.81003754,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00301494,0.07560923,-0.24139517,0.96747223,0.11074709,-0.35058780,-0.25770000,0.01718800,-0.36299535,-0.25770000,0.01205381,-0.80267429,-0.25770000,-0.11325485,-0.78462498,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00200950,0.07758482,-0.23539663,0.96879564,0.12936548,-0.35845617,-0.25770000,0.03245103,-0.35619291,-0.25770000,0.03150155,-0.78852492,-0.25770000,-0.10448629,-0.77712611,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00194680,0.07813373,-0.22813424,0.97048756,0.13340481,-0.35652330,-0.25770000,0.02665811,-0.32531830,-0.25770000,0.03548841,-0.78229429,-0.25770000,-0.10024221,-0.77466108,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00264531,0.07789112,-0.22131415,0.97208334,0.14564996,-0.34431412,-0.25770000,0.04912177,-0.32620298,-0.25770000,0.04972202,-0.78744719,-0.25770000,-0.06564298,-0.78499973,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00344049,0.07662683,-0.21276711,0.97408760,0.14253590,-0.33017779,-0.25770000,0.06447180,-0.31245179,-0.25770000,0.04208168,-0.78365837,-0.25770000,-0.05268327,-0.78847548,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00563628,0.07777118,-0.20223584,0.97622771,0.14617718,-0.34334361,-0.25770000,0.08374841,-0.29529880,-0.25770000,0.05301928,-0.77739768,-0.25770000,-0.02087385,-0.79645536,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00528370,0.08090264,-0.18948588,0.97853050,0.09056661,-0.29087639,-0.25770000,0.03531724,-0.25080983,-0.25770000,0.02990062,-0.76136990,-0.25770000,-0.04851790,-0.78274609,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00423314,0.08470983,-0.17079108,0.98165000,0.03989403,-0.24934307,-0.25770000,-0.02595645,-0.22376513,-0.25770000,0.02501616,-0.73634546,-0.25770000,-0.06685454,-0.76522612,-0.25770000
0.00000000,0.00000000,0.50000000,0.00040187,0.08887987,-0.15052151,0.98460321,-0.01153596,-0.23254581,-0.25770000,-0.06905960,-0.11119552,-0.29952078,0.02266566,-0.73287866,-0.25770000,-0.09841110,-0.76145720,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00112902,0.09339621,-0.13403063,0.98656559,-0.05760954,-0.18710533,-0.25770000,-0.11576432,0.06932400,-0.42065169,0.00857020,-0.71259168,-0.25770000,-0.11031990,-0.76318755,-0.25770000
0.00000000,0.00000000,0.50000000,-0.00239755,0.09847086,-0.12148582,0.98769375,-0.04749884,-0.17759572,-0.25770000,-0.09402612,0.16454491,-0.44423628,-0.00121770,-0.68671376,-0.25770000,-0.11865259,-0.75150402,-0.25770000
